claim_id,statement,claim_type,scientific_status,evidence_class,disposition,support,limitations,falsifier_or_next_test
V108-R002,The frozen repository basis for this v1.0.8 candidate is main commit f8b32ef0af9cb6804f256490b4daafbdba43740e.,repository audit,Established,source_asserted,admit,astraRepo2026; exact Git commit and tree inspection,"This is a dated candidate basis, not a claim about later mutable main-branch state or a v1.0.8 release identity.",Record and re-audit a new exact base commit if the candidate is rebased.
V108-E001,MoM-BH*-1 has the reported extreme Balmer spectrum at z=7.7569.,external observation,Established,externally_published,admit,naidu2026,Measurement and calibration uncertainties remain; one object does not define a population.,Repeat spectroscopy and same-instrument monitoring.
V108-A001,A dense gas envelope around an accreting black hole is the strongest current explanation of MoM-BH*-1.,astrophysical inference,Strong inference,structural_inference,admit_with_qualification,naidu2026,"Cloudy model is highly simplified; exact geometry, mass, and accretion history are open.","Jointly fit continuum, line transfer, variability, X-rays, and host kinematics."
V108-D001,The exact MoM-BH*-1 black-hole mass and accretion regime are established.,overclaim,Unsupported,rejected,rejected,naidu2026,Mass depends on radiative-transfer and Eddington assumptions.,Direct reverberation or dynamical constraints would change status.
V108-E002a,"EP250827b is associated with SN 2025wkm, a broad-line Type Ic supernova.",external observation,Established,externally_published,admit,srinivasaragavan2026,The X-ray trigger was marginal in isolation; the association depends on the multiwavelength network.,Replicate the trigger-to-supernova association in a selection-complete sample with explicit false-association control.
V108-E002b,The reported plateau requires a sustained power source beyond a simple radioactive-decay light curve.,external inference,Strong inference,externally_published,admit_with_qualification,srinivasaragavan2026,"The exact engine decomposition among magnetar, disk, and circumstellar interaction is model-dependent.","Use late-time radio, nebular spectroscopy, and a trigger-complete comparison sample to separate engine models."
V108-A002,The EP250827b discovery demonstrates cross-channel rescue: orthogonal observations converted a marginal trigger into a bounded causal classification.,methodological inference,Strong inference,structural_inference,admit_with_qualification,srinivasaragavan2026,Specific to the reported observing network and selection function.,Simulate discovery completeness with and without each messenger.
V108-D002,Every soft-X-ray-flash supernova has the same magnetar-disk engine.,overclaim,Unsupported,rejected,rejected,srinivasaragavan2026,The population is heterogeneous and selection-biased.,A complete population model would be required.
V108-E003,The reported particle-in-cell simulations saturate dark-photon resonant transfer through nonlinear plasma detuning within the declared model.,external computational result,Established,externally_published,admit_with_qualification,hook2026,"Long-time cosmological hierarchy, collisions, and full expansion are not completely simulated.",Independent 2D/3D collisional expanding-plasma replay.
V108-A003,Earlier linear cosmological dark-photon constraints are substantially weakened under the reported nonlinear model.,cosmological inference,Strong inference,structural_inference,admit_with_qualification,hook2026,Final quantitative exclusion map remains sensitive to unresolved plasma physics.,Recompute constraints after independent nonlinear validation.
V108-D003,Dark photons have been detected.,overclaim,Unsupported,rejected,rejected,hook2026; xenon2026,The work revises a constraint; it is not a positive detection.,A reproducible multi-channel excess with model closure is required.
V108-E004,Neptune inner moons and rings show the reported hydrated and magnesium-rich phyllosilicate spectral signatures.,external observation,Established,externally_published,admit,davis2026,Spectral identification and surface mixture remain subject to laboratory analog calibration.,Obtain broader spectra and cryogenic laboratory matches.
V108-A004,The Neptune material likely derives from aqueously altered interiors of larger destroyed bodies.,planetary inference,Strong inference,structural_inference,admit_with_qualification,davis2026; belyakov2026,Parent bodies and destruction sequence are not uniquely identified; missing water ice remains unexplained.,"Coupled capture, fragmentation, volatile-loss, and reaccretion models must fit all moon spectra."
V108-D004,The exact Triton-capture destruction and reaccretion history is established.,overclaim,Unsupported,rejected,rejected,davis2026; belyakov2026,Several parent and sorting histories remain viable.,Discriminating composition and dynamical predictions are required.
V108-F001,Catastrophic tomography can expose deep material while reducing provenance and chronology information.,archive method,Strong inference,structural_inference,admit_with_qualification,candidate manuscript section 21; davis2026,General methodological statement; every application requires its own transport and alteration model.,Quantify information gain and loss in a synthetic remapping benchmark.
V108-D005,The four new calibration cases demonstrate one common physical mechanism.,cross-domain overclaim,Unsupported,rejected,rejected,naidu2026; srinivasaragavan2026; hook2026; davis2026,Only the inverse-problem structure is shared.,A common unit-consistent constitutive law would be required.
